https://www.taobao.com/list/item/a0tYNGQ2RVBkUi9WQm5JLy9GTThqUT09.htm?spm=a21wu.10013406.taglist-content.2.2e747e9drGBkYO 	Breadboard	TaoBao	$14.00	TBD
https://www.alibaba.com/product-detail/ZYSY-Factory-Price-830-Point-Solderless_1601822888457.html?spm=a2700.7724857.0.0.76404f6fUMMquq	Breadboard	Alibaba	$7.84	TBD
https://www.alibaba.com/product-detail/Dupont-Jumper-Wire-10cm-20cm-40Pin_62375902362.html?spm=a2700.7724857.0.0.206527bcza7LYd	Jumper wires (both type	Alibaba	$2.38	Bought
https://www.taobao.com/list/item/V0MzN1RnREpVUUw0VitWdW03aHJZQT09.htm?spm=a21wu.10013406.taglist-content.7.57453224RvEHON	USB-A to USB-C	TaoBao	$2.98	Bought
https://www.alibaba.com/product-detail/factory-direct-wholesale-cheapest-High-Quality_1601641432489.html?spm=a2700.7724857.0.0.5e8026bdR8ElNw	USB-C to USB-C	Alibaba	$1.59	TBD
https://www.taobao.com/list/item/RGs2UUdtTVBZZzhnYmVwcXJNa2cxQT09.htm?spm=a21wu.10013406.taglist-content.4.57453224RvEHON	USB adapter	TaoBao	$13.57	Bought
https://www.oemsecrets.com/compare/ESP32-DEVKITC-32UE?utm_campaign=mouser-sem-q125-plugin&utm_source=bing&utm_medium=ppc&fdm=87553&msclkid=610083b6655e1c36c93fe98762d1c596	ESP32-DevKitC-32UE Espressif Systems	Other	$68.59	TBD
https://www.taobao.com/list/item/WWRRZkR3WURPdzFQUzcxbStKMzhsQT09.htm?spm=a21wu.10013406.taglist-content.2.689aecceMQMVZq	ESP32-S3	TaoBao	$10.00	Bought
https://www.taobao.com/list/item/YzJadTRVMkp0SzBOS3g2dFlNWDNwdz09.htm?spm=a21wu.10013406.taglist-content.3.330a3ae531PlOU	PMS5303	TaoBao	$64.36	TBD
https://www.taobao.com/list/item/eEszKzdhL0tGSkxZenFYNURpTUtTUT09.htm?spm=a21wu.10013406.taglist-content.1.330a3ae531PlOU	PMS5003	TaoBao	$52.66	Bought
rld.taobao.com/lang/en-us/item/R3JhZlN4ajJHNEY2YU02NE0vSUhyZz09.htm	SCD41	TaoBao	$1.00	Bought
https://world.taobao.com/lang/en-us/item/M2pyTjl4M1FjM0ZYc05Fd0RQdUVMUT09.htm	SGP30	TaoBao	$58.80	Find more
https://www.aliexpress.com/item/1005010263492334.html	SGP30 SGP41 gas sensors for TVOC/eCO2, air quality, formaldehyde, and carbon dioxide measurement	Other	$44.86	TBD
